Sanctioned Entity,Sanction Amount,Sanction Reason,Sanction Date
BANCA DI CREDITO PELORITANO SPA,100000.0,"- carenze nell’organizzazione e nei controlli interni , con particolare riferimento al 
processo del credito (art. 53, co. 1, lett. b) e d) , TUB ; Parte I, Tit. IV, Cap. 1 e Cap. 3,  
Circ. 285/13 ; art. 144, co. 1, lett. a), TUB) . 
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Banca di Credito 
Peloritano Spa, in amministrazione straordinaria , nella persona del legale rappresentante pro-
tempore , secondo le formalità previste dall’art. 145 TUB ; 
CONSIDERAT O che non sono state presentate controdeduzioni ; 
CONSIDERATE le risultanze dell’istruttoria;   
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tra fu nzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio  
della Banca d’Italia l’applicazione  nei confronti di Banca di Credito Peloritano Spa, in 
amministrazione s traordinaria , di sanzioni amministrative pecuniarie ex art. 144 TUB, 
trasmettendo i relativi atti;  
CONSIDERATO  che, non avendo partecipato all’istruttoria, a Banca di Credito 
Peloritano  Spa, in amministrazione straordinaria, non è stata trasmessa la propos ta del Servizio 
Rapporti  Istituzionali di Vigilanza, come previsto dal Provvedimento della Banca d’Italia del 
18 dicembre  2012, come successivamente modificato e integrato;  
VISTO il parere dell’Avvocato Generale  (omissis);  
VISTA la delibera del Direttorio  (omissis);                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento  e ritenut o che  sussist ono gli estremi per 
l’irrogazione di sanzion i amministrativ e pecuniari e, per le ragioni illustrate nella delibera 
(omissis);  
DISPONE  CHE  
a Banca di Credito Peloritano S pa, in amministrazione straordinaria sia inflitta, ai 
sensi del l’art. 144 TUB per le irregolarità sopra indicate, la sanzione amministrativa pecuniaria 
di € 100.000.",2020-02-23
ADVAM PARTNERS SGR SPA,93.0,,2020-02-23
,30000.0,,2021-06-22
MORGAN  SPA,30000.0,"- carenze negli obblighi di profilatura, adeguata verifica e collaborazione attiva (artt. 7, 17, 
18, 19, 20, 35, 36 e 62 del d.lgs. n. 231/2007; provvedimento della Banca d’Italia del  30 
luglio 2019 “Disposizioni in materia di adeguata verifica della clientela per il contrasto 
del riciclaggio e del finanziamento del terrorismo”);  
CONSIDERATO che le suddette irregolarità sono state contestate a Davis & Morgan Spa, 
nella persona del lega le rappresentante pro-tempore , secondo le formalità previste dall’art. 145 
TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la  quale il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttori o                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 della Banca d’Italia l’applicazione nei confronti di Davis & Morgan Spa di sanzioni 
amministrative pecuniarie ex art. 62 del d.lgs. n. 231 /2007, trasmettendo i relativi atti; 
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigi lanza ha 
trasmesso a Davis & Morgan Spa la proposta di sanzione e i relativi allegati;  
VISTE le ulteriori osservazioni presentate (omissis)  da Davis & Morgan Spa in merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell ’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osservazioni presentate 
dalla società  non idonee a superare la proposta del Servizio Rapporti Istituzi onali di Vigilanza  
e ritenuto, quindi, che sussist ono gli estremi per l’irrogazione della sanzione amministrativa  
pecuniaria, per le ragioni illustrate nella delibera  (omissis);  
DISPONE  CHE  
a Davis & Morgan Spa sia inflitta, ai sensi d ell’art. 62 del d.lgs . n. 231/2007 , per le 
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 30.000.",2020-02-23
,30000.0,,2020-02-23
,30000.0,,2020-02-23
,,"- carenze nell’adempimento degli obblighi di profilatura, adeguata verifica e 
collaborazione attiva (artt. 7, 17, 18, 19 , 24, 25, 35, 36, 43, d.lgs. 231/2007; Parte prima, 
Parte terza, sez. I, II, IV, Parte quinta, sez. I, Parte sesta, Provv. B.I. del 26/03/2019 
“Disposizioni in materia di organizzazione, procedure e controlli interni volti a prevenire 
l’utilizzo degli inte rmediari a fini di riciclaggio e finanziamento del terrorismo”; Parte 
prima, seconda, quarta, Provvedimento della Banca d’Italia del 30 luglio 2019 
“Disposizioni in materia di adeguata verifica della clientela per il contrasto del riciclaggio 
e del finanzi amento del terrorismo”; art. 62, d.lgs. 231/2007) . 
CONSIDERATO che le suddette irregolarità sono state contestate a Western Union 
Payments Services Ireland Ltd, nella persona del legale rappresentante pro-tempore , secondo 
le formalità previste dall’art. 14 5 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;                                                                         
 
Provvedimen ti sanzionatori  
 
 
2 
 VISTA la nota (omissis)  con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del prin cipio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Western Union Payments Services Ireland 
Ltd",2019-03-26
BANCA MONTE DEI PASCHI DI SIENA SPA,2900.0,"- carenze nell’organizzazione e nei controlli in materia di trasparenza  (art. 127, co . 01, 
TUB , in rapporto agli artt. 116, 117, 117-bis, 118, 119, 120, 120-bis, 120-novies , 120 -
novesdecies , 126-septies , 126-quinquiesdecies , 126-viciesquater , TUB;  Provv edim ento 
del Governatore del 29 .7.2009 e successive modifiche e integrazioni “Disposizioni in 
materia di trasparenza delle operazioni dei servizi bancari e finanziari. Correttezza delle 
relazioni tra int ermediari e clienti”; Decreti del Ministro dell’Economia e delle Finanze 
n. 644/2012, 343/2016, 380/2016 e 70/2018; art. 144, TUB).  
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Banca Monte dei 
Paschi di Siena Spa , nella persona del legale rappresentante pro-tempore , secondo le formalità 
previ ste dall’art. 145 TUB ; 
CONSIDERATO  che, nella riunione (omissis) , la Commissione per l’esame delle 
irregolarità, valutate le irregolarità contestate, le  controdeduzioni presentate e ogni altro 
elemento istruttorio, ha ritenuto confermate le  violazioni e su ssistenti i presupposti per 
l’irrogazione di una sanzione amministrativa  pecuniaria, ex art. 144 TUB, nei confronti di 
Banca Monte dei Paschi di Siena Spa;  
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, h a proposto al Direttorio  
della Banca d’Italia l’applicazione  nei confronti di Banca Monte dei Paschi di Siena Spa di 
sanzioni amministrative pecuniarie ex art. 144 TUB , trasmettendo i relativi atti;                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota (omissis) con la quale il Servizio Rapporti  Istituzionali di Vigilanza ha 
trasmesso a Banca Monte dei Paschi di Siena Spa  la proposta di sanzione e i relativi allegati;  
CONSIDERATO  che Banca Monte dei Paschi di Siena Spa non ha presentato ulteriori  
osservazioni in merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale  (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento  e ritenut o che sussist ono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nella delibera 
(omissis);  
DISPONE  CHE  
a Banca Monte dei Paschi di Siena Spa sia inflitta, ai sensi del l’art. 144 TUB , per le 
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 2.900. 000.",2020-02-23
DYNAMICA RETAIL SPA,30000.0,"- carenze nell’organizzazione e nei controlli in materia di trasparenza (art. 127, co. 01, 
TUB, in rapporto agli artt. 124 e 118, TUB, all’art. 39 del DPR 180/1950 e agli artt. 17 e 
58 del DPR 895/1950; Provvedimento del Governatore del 29/7/2009 e successive 
modifiche e integrazioni “Disposizioni in materia di trasparenza delle operazioni dei 
servizi bancari e finanziari. Correttezza delle relazioni tra intermediari e clienti”; art. 
144, co. 1, lett. c), TUB). 
CONSIDERATO che le suddette irregolarità sono state contestate a Dynamica Retail Spa, 
nella persona del legale rappresentante pro-tempore , secondo le formalità previste dall’art. 145 
TUB; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio; 
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Dynamica Retail Spa di sanzioni 
amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Dynamica Retail Spa la proposta di sanzione e i relativi allegati; 
VISTE le ulteriori osservazioni presentate (omissis) da Dynamica Retail Spa in merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza; 
VISTO il parere dell’Avvocato Generale (omissis);                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento, considerate le ulteriori osservazioni presentate 
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza 
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa 
pecuniaria, per le ragioni illustrate nella delibera (omissis); 
DISPONE CHE 
a Dynamica Retail Spa sia inflitta, ai sensi dell’art. 144, TUB, per le irregolarità sopra 
indicate, la sanzione amministrativa pecuniaria di € 30.000.",2020-02-23
SERENISSIMA SGR SPA,,,2020-01-06
,30000.0,"- carenze nell’organizzazione e nei controlli interni, con particolare riferimento al 
processo del credito (art. 53, co. 1, lett. b) e d), TUB; Parte I, Tit. IV, Cap. 1 e Cap. 3, 
Circ. 285/2013; art. 144, co. 1, lett. a), TUB); 
CONSIDERATO che le suddette irregolarità sono state contestate a Cassa Raiffeisen 
Schlern-Rosengarten, nella persona del legale rappresentante pro-tempore , secondo le 
formalità previste dall’art. 145 TUB; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Cassa Raiffeisen Schlern-Rosengarten di 
sanzioni amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Cassa Raiffeisen Schlern-Rosengarten la proposta di sanzione e i relativi allegati; 
VISTE le ulteriori osservazioni presentate (omissis) da Cassa Raiffeisen Schlern-
Rosengarten in merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 ESAMINATI gli atti del procedimento, considerate le ulteriori osservazioni presentate 
dalla banca non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza e 
ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa 
pecuniaria, per le ragioni illustrate nella delibera (omissis); 
DISPONE CHE 
a Cassa Raiffeisen Schlern-Rosengarten società cooperativa  sia inflitta, ai sensi dell’art. 
144, TUB per le irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 30.000.",2020-02-23
FACTOR SPA,51000.0,"- carenze nell’adempimento degli obblighi di adeguata verifica, di profilatura e 
collaborazione attiva (artt. 17, 18, 19, 20, 24, 25, 35, 36 e 62, d.lgs. 231/2007). 
CONSIDERATO che le suddette irregolarità sono state contestate a Finanza & Factor 
Spa, ora in liquidazione, nella persona del legale rappresentante pro-tempore , secondo le 
formalità previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio; 
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Finanza & Factor Spa, ora in liquidazione,                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 di sanzioni amministrative pecuniarie ex art. 62 del d.lgs. n. 231/2007, trasmettendo i relativi 
atti; 
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Finanza & Factor Spa, ora in liquidazione, la proposta di sanzione e i relativi 
allegati; 
CONSIDERATO  che Finanza & Factor Spa, ora in liquidazione, non ha presentato 
osservazioni in merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza; 
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento e ritenuto, quindi, che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nella delibera 
(omissis); 
DISPONE CHE 
a Finanza & Factor Spa , ora in liquidazione, sia inflitta, ai sensi dell’art. 62 del d.lgs. n. 
231/2007 per le irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 51.000.",2020-02-23
FACTOR SPA,51.0,"1. violazione della normativa in materia di grandi esposizioni (art. 108, co. 1, TUB; Tit. 
IV, Cap. 12, Circ. 288/2015 “Disposizioni di vigilanza per gli intermediari 
finanziari”; art. 144, co. 1, lett. a), TUB); 
2. carenze nell’organizzazione, nei controlli interni e nel processo del credito (art. 108, 
co. 1, TUB; Tit. III, Cap. 1, Circ. 288/2015 “Disposizioni di vigilanza per gli 
intermediari finanziari”; art. 144, co. 1, lett. a), TUB). 
CONSIDERATO che le suddette irregolarità sono state contestate a Finanza & Factor 
Spa, ora in liquidazione, nella persona del legale rappresentante pro-tempore , secondo le 
formalità previste dall’art. 145 TUB; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Finanza & Factor Spa, ora in liquidazione, 
di sanzioni amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Finanza & Factor Spa, ora in liquidazione, la proposta di sanzione e i relativi 
allegati; 
CONSIDERATO  che Finanza & Factor Spa, ora in liquidazione, non ha presentato 
ulteriori osservazioni in merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza;                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento e ritenuto che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nella delibera 
(omissis); 
DISPONE CHE 
a Finanza & Factor Spa , ora in liquidazione,  sia inflitta, ai sensi dell’art. 144 TUB, per 
le irregolarità: 
- sub 1), la sanzione amministrativa pecuniaria di € 51.000; 
- sub 2), la sanzione amministrativa pecuniaria di € 51.000.",2020-02-23
,30000.0,"− carenze nell’adempimento degli obblighi di profilat ura, adeguata verifica e collaborazione 
attiva (artt. 7, 17, 18, 19, 24, 25, 35, 36 e 62, d .lgs. n. 231/2007; Provvedimento della 
Banca d’Italia del 30.7.2019 “Disposizioni in mater ia di adeguata verifica della clientela 
per il contrasto del riciclaggio e del finanziament o del terrorismo”); 
CONSIDERATO che le suddette irregolarità sono state  contestate a Banca Popolare di 
Cortona Scpa, nella persona del legale rappresentan te pro-tempore , secondo le formalità 
previste dall’art. 145 TUB, richiamato dall’art. 65  del d.lgs. n. 231/2007; 
CONSIDERATI le deduzioni presentate nel corso dell’ istruttoria e ogni altro elemento 
istruttorio; 
VISTA la nota (omissis) con cui il Servizio Rapport i Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funz ioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 2 4 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti d i Banca Popolare di Cortona Scpa di sanzioni 
amministrative pecuniarie ex  art. 62 del d.lgs. n. 231/2007, trasmettendo i rel ativi atti; 
VISTA la nota (omissis) con la quale il Servizio Ra pporti Istituzionali di Vigilanza ha 
trasmesso a Banca Popolare di Cortona Scpa la propo sta di sanzione e i relativi allegati; 
VISTE le ulteriori osservazioni presentate (omissis ) da Banca Popolare di Cortona Scpa in 
merito alla proposta del Servizio Rapporti Istituzi onali di Vigilanza;                                                                        
 
Provvedimenti sanzionatori 
 
 
2 
 VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento, considerate le  ulteriori osservazioni presentate 
dalla banca non idonee a superare la proposta del S ervizio Rapporti Istituzionali di Vigilanza e 
ritenuto, quindi, che sussistono gli estremi per l’ irrogazione della sanzione amministrativa 
pecuniaria, per le ragioni illustrate nella deliber a (omissis); 
DISPONE CHE 
a Banca Popolare di Cortona Scpa  sia inflitta, ai sensi dell’art. 62 del d.lgs. n. 231/2007 
per le irregolarità sopra indicate, la sanzione amm inistrativa pecuniaria di € 30.000.",2019-07-30
,30000.0,"- carenze nell’organizzazione e nei controlli inter ni, con particolare riferimento al 
processo del credito (art. 53, co. 1, lett. b) e d) , TUB; Parte I, Tit. IV, Cap. 1 e Cap. 3, 
Circ. 285/13; art. 144, co. 1, lett. a), TUB); 
CONSIDERATO che le suddette irregolarità sono state  contestate a Banca Popolare di 
Cortona Scpa, nella persona del legale rappresentan te pro-tempore , secondo le formalità 
previste dall’art. 145 TUB; 
CONSIDERATI le deduzioni presentate nel corso dell’ istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapport i Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funz ioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 2 4 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti d i Banca Popolare di Cortona Scpa di sanzioni 
amministrative pecuniarie ex  art. 144 TUB, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Ra pporti Istituzionali di Vigilanza ha 
trasmesso a Banca Popolare di Cortona Scpa la propo sta di sanzione e i relativi allegati; 
VISTE le ulteriori osservazioni presentate (omissis ) da Banca Popolare di Cortona Scpa in 
merito alla proposta del Servizio Rapporti Istituzi onali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento, considerate le  ulteriori osservazioni presentate 
dalla banca non idonee a superare la proposta del S ervizio Rapporti Istituzionali di Vigilanza e 
ritenuto, quindi, che sussistono gli estremi per l’ irrogazione della sanzione amministrativa 
pecuniaria, per le ragioni illustrate nella deliber a (omissis);                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 DISPONE CHE 
a Banca Popolare di Cortona Scpa sia inflitta, ai sensi dell’art. 144, TUB per le 
irregolarità sopra indicate, la sanzione amministra tiva pecuniaria di € 30.000.",2021-03-16
BANCA DEL PIEMONTE SPA,30000.0," mancata ottemperanza agli obblighi in materia di adeguata verifica della clientela e di 
segnalazione di operazioni sospette (artt. 17, 18, 19, 35 e 36, co. 1, d.lgs. 231/2007; art. 
62, comma 1, d.lgs. 231/2007). 
CONSIDERATO che le suddette irregolarità sono state contestate alla Banca del 
Piemonte Spa, nella persona del legale rappresentante pro-tempore , secondo le formalità 
previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio; 
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 della Banca d’Italia l’applicazione nei confronti della Banca del Piemonte Spa di sanzioni 
amministrative pecuniarie ex art. 62 del d.lgs. n. 231/2007, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso alla Banca del Piemonte Spa la proposta di sanzione e i relativi allegati; 
CONSIDERATO che la Banca del Piemonte Spa non ha presentato osservazioni in merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza; 
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento e ritenuto, quindi, che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nella delibera 
(omissis); 
DISPONE CHE 
alla Banca del Piemonte Spa sia inflitta, ai sensi dell’art. 62 del d.lgs. n. 231/2007 per le 
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 30.000.",2020-02-23
SERENISSIMA SGR SPA,30000.0,"− carenze negli obblighi di adeguata verifica (artt. 17, 18, 19, 24, 25 e 62, d.lgs. 
231/2007, come modificato dal d.lgs. 90/2017); 
CONSIDERATO che le suddette irregolarità sono state  contestate a Serenissima 
SGR Spa nella persona del legale rappresentante pro-tempore , secondo le formalità 
previste dall’art. 145 TUB, richiamato dall’art. 65  del d.lgs. n. 231/2007; 
CONSIDERATI le deduzioni presentate nel corso dell’ istruttoria e ogni altro 
elemento istruttorio; 
VISTA la nota (omissis) con cui il Servizio Rapport i Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funz ioni istruttorie e funzioni decisorie 
rispetto all’irrogazione della sanzione, fissato da ll’art. 24 della l. n. 262/2005, ha 
proposto al Direttorio della Banca d’Italia l’appli cazione, nei confronti di Serenissima                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 SGR Spa, di sanzioni amministrative pecuniarie ex  art. 62 del d.lgs. n. 231/2007, 
trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Ra pporti Istituzionali di 
Vigilanza ha trasmesso a Serenissima SGR Spa la pro posta di sanzione e i relativi 
allegati; 
CONSIDERATO che Serenissima SGR Spa non ha presenta to ulteriori 
osservazioni in merito alla proposta del Servizio R apporti Istituzionali di Vigilanza; 
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis); 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento e ritenuto che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa pecunia ria, per le ragioni illustrate nella 
delibera (omissis); 
DISPONE CHE 
a Serenissima SGR Spa  sia inflitta, ai sensi dell’art. 62 del d.lgs. n. 231/2007, per 
le irregolarità sopra indicate, la sanzione amminis trativa pecuniaria di € 30.000.",2020-02-23
,30000.0,"− carenze nell’adempimento degli obblighi di adeguata verifica della clientela (artt. 
17, 18, 19, d. lgs. n. 231/2007; art. 62, d. lgs. n. 231/2007).  
CONSIDERATO che l e sudde tte irregolarità sono state contestat e alla succursale 
italiana di Ipagoo LLP , secondo le formalità previste dall’art. 145 TUB, richiamato 
dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERAT O che non sono state presentate contro deduzioni ; 
CONSIDERATE le risult anze dell’istruttoria;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie 
rispetto all’irrogazione della sanzione, fissato dall’art. 2 4 della l. n. 262/2005, ha 
proposto al Direttorio  della Banca d’Italia l’applicazione , nei confronti di Ipagoo LLP                                                                         
 
Provved imenti sanzionatori  
 
 
2 
 di sanzioni amministrative pecuniarie ex art. 62 del d.lgs. n. 231/2007, trasmettendo i 
relativi atti;  
CONSIDERATO che, non avendo partecipat o all’istruttoria, a Ipagoo LLP non è 
stata trasmessa la proposta del Servizio Rapporti Istituzionali di Vigilanza, come 
previsto dal  Provvedimento della Banca d’Italia del 18 dicembre 2012, come 
successivamente modificato e  integrato;  
VISTO il parere dell ’Avvocato Generale (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento  e ritenuto  che sussist ono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nell a 
delibera (omissis);  
DISPONE  CHE  
a Ipagoo LLP sia inflitta, ai sensi d ell’art. 62 del d.lgs. n. 231/2007,  per le 
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 30.000.",2020-02-23
